"state_abbreviation","state","district","state_district","district_id","i","candidate_name","party","primary_votes","primary_percent","general_votes","general_percent","TotalPop","discuss","discussOppose","reducetax","reducetaxOppose","CO2limits","CO2limitsOppose","localofficials","localofficialsOppose","governor","governorOppose","congress","congressOppose","president","presidentOppose","corporations","corporationsOppose","citizens","citizensOppose","regulate","regulateOppose","supportRPS","supportRPSOppose","drilloffshore","drilloffshoreOppose","drillANWR","drillANWROppose","fundrenewables","fundrenewablesOppose","rebates","rebatesOppose","mediaweekly","mediaweeklyOppose","gwvoteimp","gwvoteimpOppose","teachGW","teachGWOppose","priority","priorityOppose","happening","happeningOppose","human","humanOppose","consensus","consensusOppose","worried","worriedOppose","personal","personalOppose","harmUS","harmUSOppose","devharm","devharmOppose","futuregen","futuregenOppose","harmplants","harmplantsOppose","timing","timingOppose","affectweather","affectweatherOppose","lcv_score"
"PA","Pennsylvania","03","Pennsylvania_03","PA 03","(I)","Evans, Dwight","D","73800",0.806143292516412,"287610",0.933507737847943,587927,44.808,55.126,83.853,15.097,84.455,15.329,71.564,7.618,70.998,6.738,78.049,6.829,78.041,3.962,81.957,5.524,78.285,5.57,86.273,12.119,77.746,20.732,38.575,59.351,17.65,81.224,90.43,8.329,87.584,10.97,26.947,72.73,75.388,16.707,89.337,9.95,74.302,7.253,86.008,2.926,75.061,18.924,76.566,10.059,82.049,18.136,59.555,30.166,76.535,13.609,80.23,8.475,82.978,6.613,84.022,5.746,75.339,24.661,82.614,2.357,97
"PA","Pennsylvania","04","Pennsylvania_04","PA 04",NA,"Dean, Madeleine","D","42749",0.724989400491817,"211524",0.634997448290355,566746,37.628,61.897,73.019,26.115,71.791,27.401,56.715,14.617,54.473,14.719,64.374,15.384,63.683,9.29,75.391,8.149,68.974,8.755,78.785,20.177,69.792,28.65,48.223,51.471,28.101,72.255,87.839,11.313,85.172,13.994,24.889,74.281,57.701,32.282,81.37,18.434,54.694,18.273,77.253,8.61,62.511,30.326,63.026,23.867,70.2,29.559,45.058,45.959,63.933,27.341,68.601,19.287,75.491,13.728,75.29,15.079,58.44,41.56,70.245,4.906,97
"PA","Pennsylvania","05","Pennsylvania_05","PA 05",NA,"Scanlon, Mary Gay","D","17220",0.283330865294437,"198639",0.651726276210756,555812,36.286,63.737,76.354,22.751,72.739,27.018,58.268,12.483,57.238,12.828,65.211,13.442,65.574,8.133,74.035,8.564,68.496,8.352,79.86,19.207,68.109,31.185,47.102,52.061,25.24,74.203,87.361,12.049,84.61,14.837,24.958,74.469,62.053,27.736,83.186,16.478,57.944,15.92,77.593,7.335,62.159,27.895,62.608,19.637,70.903,29.259,46.836,41.445,67.074,22.049,70.491,16.202,74.724,13.517,75.581,13.462,63.024,36.976,71.514,4.034,97
"PA","Pennsylvania","06","Pennsylvania_06","PA 06",NA,"Houlahan, Chrissy","D","35636",0.995279988828376,"177704",0.588453068861036,553614,38.312,61.338,72.175,26.925,70.136,29.499,56.246,14.216,55.243,13.818,62.754,15.203,62.622,9.034,74.148,7.856,66.274,9.246,78.142,20.925,66.571,33.134,51.589,48.492,29.918,69.756,87.079,12.349,84.689,14.74,25.522,73.791,60.296,30.648,80.455,19.279,54.313,19.015,75.395,9.133,60.968,31.352,64.126,23.158,68.687,31.073,43.233,47.551,64.503,27.565,68.222,19.909,74.037,16.352,74.378,16.57,59.848,40.152,69.513,5.145,97
"PA","Pennsylvania","07 - FULL TERM","Pennsylvania_07","PA 07",NA,"Wild, Susan","D","15262",0.334392322692316,"140813",0.534678766707169,566947,31.794,68.212,71.208,27.796,66.531,32.667,53.635,15.56,51.905,16.26,60.062,16.761,60.586,10.763,71.102,9.597,65.544,10.53,77.279,21.176,63.024,36.385,54.237,44.809,32.047,67.436,85.755,13.477,83.215,16.012,22.393,77.087,56.313,33.176,79.508,20.194,49.136,20.211,72.408,12.259,57.913,33.197,56.624,24.869,63.896,36.288,39.768,51.205,58.515,33.187,63.914,23.364,71.549,17.882,72.083,18.477,54.24,45.76,64.805,5.355,97
"PA","Pennsylvania","08","Pennsylvania_08","PA 08","(I)","Cartwright, Matt","D","36189",0.985190428225301,"135603",0.546006909492096,557788,33.028,66.751,70.627,28.517,66.142,32.37,54.532,15.487,52.988,15.076,60.421,17.336,61.019,9.779,70.408,8.69,62.406,10.262,76.608,21.819,64.721,33.466,56.26,42.878,32.735,67.164,85.461,13.65,82.89,16.055,22.741,76.42,58.359,33.146,79.834,20.183,49.785,20.457,71.022,12.236,55.228,34.828,54.536,26.276,64.76,35.381,42.25,47.33,61.563,29.094,64.389,22.426,70.749,17.432,71.866,17.998,56.589,43.411,65.533,5.641,96
"PA","Pennsylvania","09","Pennsylvania_09","PA 09",NA,"Meuser, Dan","R","26866",0.527808883911907,"148723",0.597017381879491,563550,29.204,70.593,63.908,35.223,61.373,38.341,50.333,16.891,48.622,18.044,53.793,22.064,55.959,13.059,70.686,9.263,59.451,11.803,73.431,25.681,60.088,39.242,59.316,40.451,33.67,66.562,83.367,16.418,80.293,19.693,21.183,78.216,50.748,38.015,72.707,27.083,43.153,26.548,63.21,17.763,50.563,36.434,48.288,30.841,55.264,44.986,33.425,57.807,53.926,37.934,59.043,29.491,64.478,24.38,65.98,23.852,46.675,53.325,59.158,6.398,7
"PA","Pennsylvania","10","Pennsylvania_10","PA 10","(I)","Perry, Scott","R","57504",0.994930532726612,"149365",0.512802466423137,568126,32.004,67.916,69.229,29.756,67.709,31.92,54.28,14.858,52.402,14.06,58.455,16.708,58.886,10.181,70.044,8.645,64.367,10.521,75.668,23.716,65.11,34.227,56.143,43.565,35.351,63.817,86.054,13.339,83.325,15.872,22.59,77.018,54.311,34.73,78.209,21.515,47.106,22.755,72.519,11.667,57.479,31.994,57.988,25.539,63.21,36.942,38.958,53.248,58.541,34.14,63.473,26.879,71.484,18.498,72.513,17.72,50.091,49.909,65.149,5.743,3
"PA","Pennsylvania","11","Pennsylvania_11","PA 11","(I)","Smucker, Lloyd K.","R","34232",0.583337593510898,"163708",0.589295291987488,558854,30.899,69.014,67.521,31.532,66.41,33.144,50.724,16.193,50.562,16.491,55.699,18.789,56.999,11.71,68.779,10.315,60.684,11.519,74.997,23.848,59.541,39.654,55.433,43.836,31.992,67.902,84.037,15.539,81.311,17.644,22.814,76.906,52.199,35.375,75.98,23.819,41.001,25.936,63.645,14.435,51.264,37.652,53.087,25.536,59.101,41.1,38.293,52.791,56.607,35.519,61.141,27.381,69.08,20.805,69.217,21.938,50.101,49.899,63.561,6.199,7
"PA","Pennsylvania","12","Pennsylvania_12","PA 12","(I)","Marino, Tom","R","39967",0.667987030351651,"161047",0.659623182469793,562503,30.075,69.89,67.023,32.217,62.063,37.735,46.747,17.267,47.383,18.77,53.618,21.612,55.056,13.713,67.269,10.741,59.729,12.118,73.567,25.303,59.083,39.322,56.461,41.153,32.961,65.803,84.358,14.714,79.63,19.296,23.785,75.828,50.531,36.428,74.393,25.329,42.845,27.136,64.33,18.263,50.412,38.893,48.341,30.283,56.299,43.939,35.816,52.824,55.417,35.111,59.624,26.817,66.504,22.443,65.2,23.242,46.651,53.349,59.895,6.702,4
"PA","Pennsylvania","13","Pennsylvania_13","PA 13",NA,"Joyce, John","R","14828",0.2198336570251,"178533",0.703936188249396,556829,28.279,71.569,64.075,35.195,57.991,41.861,47.507,17.821,46.755,18.873,52.451,22.851,54.122,15.145,62.509,13.282,57.427,13.59,72.585,26.714,58.459,40.97,59.536,39.988,35.214,64.65,82.54,17.22,80.832,18.622,20.662,78.926,48.864,39.301,70.919,28.339,38.855,31.245,61.658,17.457,49.852,38.233,46.279,30.619,53.954,46.22,32.537,58.262,52.442,37.441,56.759,29.706,62.369,25.195,63.074,23.759,47.143,52.857,58.845,6.373,3
"PA","Pennsylvania","14","Pennsylvania_14","PA 14",NA,"Reschenthaler, Guy","R","23737",0.550231803430691,"151386",0.578590920556783,558627,27.736,72.284,64.117,35.119,60.673,39.114,48.125,17.293,47.252,17.751,53.117,20.848,54.008,13.362,67.525,9.996,58.815,12.014,71.989,27.985,56.997,43.417,58.982,41.003,36.006,63.775,83.799,16.064,80.946,19.094,20.682,78.825,46.939,40.657,70.959,28.737,40.491,28.433,63.609,16.638,52.05,35.552,48.226,30.459,54.114,46.119,33.736,56.455,54.744,35.765,58.778,27.97,65.682,21.882,65.676,23.399,44.991,55.009,58.84,6.502,7
"PA","Pennsylvania","15 - FULL TERM","Pennsylvania_15","PA 15","(I)","Thompson, Glenn GT","R","45322",0.990255200139836,"165245",0.677936548962654,555721,26.405,73.543,61.304,37.996,56.749,43.209,46.034,18.097,45.173,19.261,50.24,23.626,52.134,14.841,62.361,11.087,54.555,12.972,72.335,26.924,57.384,42.845,63.317,35.713,36.213,63.077,83.197,16.1,81.063,18.61,19.985,79.494,47.033,40.901,67.048,32.533,37.633,32.041,61.038,18.57,48.498,40.128,46.796,30.254,52.764,47.455,32.75,58.265,52.707,38.749,56.865,30.888,61.978,28.12,62.803,27.354,43.087,56.913,53.811,6.716,7
"PA","Pennsylvania","16","Pennsylvania_16","PA 16","(I)","Kelly, Mike","R","39412",0.986854295515437,"135348",0.515487711520664,548422,30.804,69.142,68.818,30.394,64.502,34.642,50.36,16.721,48.776,16.547,55.435,18.579,56.487,10.761,68.878,9.071,61.066,11.198,74.281,25.052,61.063,38.844,63.52,35.867,35.592,62.924,85.568,13.931,82.604,16.687,22.7,76.783,50.941,37.764,74.989,24.196,42.626,25.858,69.027,14.148,51.078,38.036,50.184,28.779,60.062,40.133,37.209,51.486,56.34,32.455,59.461,26.201,66.124,22.059,67.289,21.686,50.012,49.988,63.799,6.246,7
"PA","Pennsylvania","17","Pennsylvania_17","PA 17","(I)","Lamb, Conor","D","52590",0.991198145390806,"183162",0.562255381980151,568185,35.671,63.613,67.09,32.093,65.722,34.281,53.634,14.825,52.259,14.822,60.374,17.964,61.695,10.745,72.736,8.001,62.672,9.795,77.226,21.638,65.56,33.697,51.812,47.874,29.189,71.043,85.921,13.417,83.649,15.824,24.069,75.403,55.919,33.548,75.18,24.485,49.275,24.201,70.699,13.154,56.62,32.554,57.223,24.598,62.087,37.786,39.401,52.012,60.37,30.327,64.313,23.45,69.902,18.327,71.537,17.922,56.823,43.177,64.805,5.251,90
"PA","Pennsylvania","18","Pennsylvania_18","PA 18","(I)","Doyle, Mike","D","52080",0.755998780647128,"231472",0.960767710979396,575167,37.975,61.639,75.842,23.291,76.292,23.427,56.862,12.452,56.489,12.275,63.552,13.556,64.782,8.202,73.678,8.513,67.547,8.265,80.952,17.392,70.326,28.021,46.663,53.152,25.983,72.88,87.903,11.238,85.201,13.273,27.685,71.939,60.362,28.058,82.636,17.048,56.948,17.147,75.976,9.248,62.797,28.059,62.553,20.024,67.913,32.017,43.645,46.294,65.01,25.608,68.355,18.801,74.811,14.475,75.454,14.213,61.099,38.901,71.084,4.276,97
"RI","Rhode Island","01","Rhode Island_01","RI 01","(I)","Cicilline, David N.","D","47762",0.779966033052453,"116099",0.666917504868367,424329,38.024,61.911,72.029,27.499,73.628,25.097,54.678,13.812,54.373,13.612,64.109,15.528,64.885,8.706,72.942,9.522,66.468,9.422,77.893,21.527,68.914,29.81,51.189,49.093,29.251,70.456,88.256,11.373,84.83,14.8,27.629,72.022,59.556,30.576,81.481,18.294,57.072,16.656,73.571,9.35,61.745,29.595,60.85,21.099,69.161,30.765,45.121,45.579,65.081,26.186,69.104,19.245,75.578,15.086,75.355,15.394,59.198,40.802,70.264,5.205,97
"RI","Rhode Island","02","Rhode Island_02","RI 02","(I)","Langevin, James R.","D","44634",1,"126476",0.634929240902222,423408,36.271,63.642,68.312,31.303,69.278,29.311,52.496,15.08,51.775,14.19,60.816,16.482,60.998,9.621,70.916,10.047,64.823,10.369,76.539,22.869,67.369,31.774,54.441,46.017,30.979,69.376,87.402,12.465,84.418,15.226,27.021,72.688,55.47,34.293,78.835,20.981,51.102,20.033,72.301,11.445,58.199,32.877,59.678,23.58,65.532,34.392,41.601,48.855,61.813,30.361,67.177,22.76,74.091,17.029,73.986,17.806,55.238,44.762,67.829,6.116,97
"SC","South Carolina","01","South Carolina_01","SC 01",NA,"Cunningham, Joe","D","23493",0.714963936820962,"145455",0.506048366054002,600192,34.876,64.958,66.521,32.701,66.856,31.871,52.854,16.04,52.726,16.264,58.143,19.813,58.439,11.882,70.163,9.351,62.77,11.527,73.059,26.136,63.245,36.105,54.976,44.841,34.623,64.322,85.891,13.559,81.378,18.133,24.717,74.676,52.669,37.137,78.978,20.685,48.82,24.259,71.394,12.226,52.175,35.788,53.744,28.246,61.137,38.853,41.049,49.478,57.542,32.518,62.135,24.276,68.592,19.691,68.319,20.851,51.304,48.696,60.594,6.504,93
"SC","South Carolina","02","South Carolina_02","SC 02","(I)","Wilson, Joe","R","Unopposed",1,"144642",0.56250510424323,544825,32.773,67.111,65.734,33.355,64.605,34.76,53.311,15.301,52.473,15.625,58.369,19.168,58.702,12.003,68.408,10.811,61.432,12.091,72.462,26.659,62.827,36.028,54.839,45.01,33.018,66.618,85.124,14.095,81.61,17.719,23.242,76.074,53.282,36.033,75.188,23.84,49.843,24.21,71.02,11.917,52.484,35.658,54.045,26.208,61.135,38.836,38.742,50.929,57.05,31.09,61.031,23.661,67.638,18.862,66.824,21.126,53.404,46.596,60.874,6.381,7
"SC","South Carolina","03","South Carolina_03","SC 03","(I)","Duncan, Jeff","R","Unopposed",1,"153338",0.677874838641227,536011,29.688,70.178,63.28,35.916,60.777,38.418,50.829,16.669,49.56,16.772,54.468,21.923,56.214,13.199,65.867,11.463,58.832,13.747,70.316,29.016,60.371,38.809,59.965,39.9,36.235,63.283,84.116,15.288,79.283,20.283,21.548,77.772,49.713,39.59,75.807,24.264,45.786,26.53,67.066,13.248,50.28,37.543,48.541,29.187,56.565,43.393,37.041,51.74,54.287,32.935,57.337,26.613,63.778,22.177,64.347,22.204,50.995,49.005,55.764,7.483,7
"SC","South Carolina","04","South Carolina_04","SC 04",NA,"Timmons, William","R","12885",0.192055447905798,"145321",0.59569993851199,551304,31.918,68.018,64.982,34.123,63.433,35.837,52.883,16.35,51.227,17.44,54.679,21.224,56.983,12.796,64.765,12.185,59.777,13.598,70.466,29.351,61.585,38,57.235,42.785,36.246,63.059,84.59,15.097,80.685,18.851,23.332,76.174,52.253,37.133,75.111,24.437,47.456,26.373,67.07,13.578,49.869,37.933,48.243,27.539,57.719,42.296,37.518,52.104,56.061,32.475,60.565,25.131,65.909,21.651,65.947,22.714,52.558,47.442,57.45,6.937,10
"SC","South Carolina","05","South Carolina_05","SC 05","(I)","Norman, Ralph W.","R","Unopposed",1,"141757",0.570269411334023,541846,28.681,71.347,65.464,33.594,62.862,35.223,50.336,15.846,50.407,16.197,53.304,19.678,57.186,11.885,66.241,10.513,59.824,12.086,71.165,27.593,59.114,40.421,59.999,38.761,36.796,61.706,84.156,15.027,79.712,19.001,20.044,79.295,51.064,38.098,77.275,22.118,44.114,24.37,65.902,11.986,49.273,38.141,46.101,28.078,54.849,45.141,37.582,48.89,54.029,31.162,58.651,22.966,63.859,19.143,64.85,19.612,51.112,48.888,57.662,6.58,7
"SC","South Carolina","06","South Carolina_06","SC 06","(I)","Clyburn, James E. ""Jim""","D","Unopposed",1,"144765",0.701268692505559,523374,30.268,69.649,69.895,28.8,69.008,30.492,59.384,11.631,57.349,12.709,60.732,14.604,63.738,9.359,68.294,9.267,63.346,9.829,74.193,24.41,66.432,32.411,49.231,47.388,31.542,66.358,85.302,13.35,82.221,16.426,16.783,82.444,57.702,30.648,79.699,19.71,54.045,16.251,71.005,8.307,53.868,33.762,51.632,19.853,63.502,36.153,45.465,37.453,61.022,21.527,64.303,15.754,66.433,14.634,69.471,13.811,59.54,40.46,64.537,4.155,92
"SC","South Carolina","07","South Carolina_07","SC 07","(I)","Rice, Tom","R","38346",0.835825450106805,"142681",0.595611010461107,562119,28.247,71.606,64.819,34.26,64.362,34.363,50.747,15.918,50.449,17.206,54.941,20.4,56.946,13.359,64.06,11.685,58.616,12.836,70.107,28.847,60.427,38.917,54.274,44.853,34.902,63.799,83.856,15.404,78.458,21.076,19.817,79.642,51.296,37.705,74.792,23.933,43.915,23.686,64.616,12.463,47.32,39.805,45.982,27.116,55.294,44.78,37.894,49.297,53.869,31.734,57.065,25.792,62.647,21.577,62.88,23.401,51.627,48.373,58.388,6.28,10
"SD","South Dakota","00","South Dakota_00","SD 00",NA,"Johnson, Dustin ""Dusty""","R","47120",0.467873419983914,"202695",0.603321774589615,651224,33.024,66.567,64.72,34.033,62.814,36.546,47.914,15.45,46.785,15.638,52.944,19.696,53.554,13.29,65.346,10.689,58.825,10.851,71.173,26.968,62.444,35.233,58.036,39.755,36.159,62.66,84.988,13.829,80.687,17.885,23.626,76.02,48.504,40.507,74.116,25.408,41.436,27.286,65.364,16.466,51.662,37.135,48.869,29.336,58.074,41.778,34.758,55.084,54.575,35.126,57.04,28.105,66.327,23.915,67.804,23.403,47.932,52.068,58.698,7.196,7
"TN","Tennessee","01","Tennessee_01","TN 01","(I)","Roe, Phil","R","71556",0.737371447414522,"172835",0.770614672599674,570637,28.038,71.778,57.469,41.244,54.972,44.473,44.614,18.716,44.283,18.556,48.944,25.187,50.968,16.078,60.348,13.537,53.702,15.498,67.536,32.082,55.271,43.812,62.878,35.659,39.25,60.543,81.087,18.59,76.87,22.9,22.583,76.68,46.552,42.566,71.042,29.376,38.133,31.747,60.483,18.114,48.528,39.551,45.578,32.076,50.447,49.572,35.187,53.971,52.524,37.142,53.535,30.424,59.883,26.762,61.549,25.326,46.938,53.062,49.492,8.746,10
"TN","Tennessee","02","Tennessee_02","TN 02",NA,"Burchett, Tim","R","47875",0.481872534020453,"172856",0.659418465365042,584466,31.882,67.926,59.683,38.856,61.834,37.045,49.437,16.802,49.743,16.491,55.388,22.751,54.772,14.325,65.359,10.338,59.231,13.248,70.143,28.713,57.581,41.443,61.346,36.569,36.137,63.335,83.938,15.134,80.154,18.611,25.125,74.37,51.019,38.269,73.798,26.521,43.254,28.939,64.318,15.731,53.645,34.75,46.88,30.817,56.689,42.994,36.374,53.636,55.307,34.577,56.981,27.673,65.296,21.072,64.754,21.089,51.254,48.746,54.19,8.163,10
"TN","Tennessee","03","Tennessee_03","TN 03","(I)","Fleischmann, Chuck","R","67830",0.793676795806372,"156512",0.636836001871707,574072,28.848,71.091,59.744,38.792,58.832,39.62,51.765,16.49,49.849,16.767,56.786,22.07,56.7,13.64,67.172,12.1,60.178,13.037,69.954,29.574,60.002,39.453,63.149,35.268,39.11,59.841,82.715,16.731,79.994,19.352,23.084,76.208,52.659,37.945,72.3,27.935,47.604,27.095,71.364,12.24,54.48,34.842,49.324,27.85,59.556,40.509,37.093,52.015,57.725,30.878,58.225,25.145,63.764,21.952,64.888,21.907,57.584,42.416,55.614,7.622,7
"TN","Tennessee","04","Tennessee_04","TN 04","(I)","DesJarlais, Scott","R","61994",0.699911938040509,"147323",0.63378088285273,589638,27.894,72.097,60.531,38.093,58.64,40.6,45.068,17.811,44.856,18.937,48.654,24.926,49.777,16.292,57.653,14.572,52.726,15.645,69.881,29.558,57.402,42.11,66.467,32.495,40.016,59.089,82.144,17.75,79.923,19.099,22.564,76.774,46.934,41.2,71.95,28.179,38.41,32.907,54.615,22.113,46.193,37.295,41.465,31.391,47.546,52.529,33.598,54.96,50.664,38.777,52.099,31.962,59.773,27.253,58.402,30.377,44.513,55.487,49.394,8.107,3
"TN","Tennessee","05","Tennessee_05","TN 05","(I)","Cooper, Jim","D","70480",1,"177923",0.678453219852964,600718,34.357,65.605,67.667,30.586,68.313,31.295,56.954,12.997,57.168,12.452,61.121,16.571,62.138,9.934,68.777,8.886,63.039,10.664,75.719,23.182,65.05,34.439,56.057,41.485,33.175,65.919,86.408,12.54,82.85,15.938,25.352,73.848,58.286,31.478,78.697,20.586,52.314,23.392,68.049,9.792,56.351,31.063,53.758,22.252,62.599,37.517,43.052,44.89,62.439,26.148,63.788,21.383,70.444,16.108,70.229,16.585,56.626,43.374,61.042,5.689,93
"TN","Tennessee","06","Tennessee_06","TN 06",NA,"Rose, John","R","43797",0.412657583809147,"172810",0.694741497145614,586387,28.546,71.112,57.288,41.341,57.283,42.125,47.639,17.607,46.943,18.079,51.846,24.305,52.674,15.814,63.352,13.477,56.567,14.808,68.298,31.523,55.213,44.672,59.783,38.162,39.3,60.264,81.532,18.197,78.158,21.271,23.276,76.109,49.087,40.456,69.606,30.656,40.187,32.394,61.912,17.847,48.648,37.995,45.363,29.372,51.477,48.176,33.888,55.244,52.129,37.09,54.203,30.636,60.847,25.575,60.88,25.574,48.298,51.702,51.659,8.044,3
"TN","Tennessee","07","Tennessee_07","TN 07",NA,"Green, Mark E.","R","83314",1,"170071",0.668560129567897,574008,28.748,71.069,56.117,42.551,54.892,44.824,47.551,17.149,46.173,17.976,50.962,23.422,52.074,15.286,64.162,11.481,56.263,13.544,68.26,31.462,56.653,43.588,61.794,37.212,39.359,59.715,81.868,17.695,78.795,20.519,21.411,77.939,50.497,39.322,70.017,30.336,40.392,29.676,62.248,16.483,50.415,37.065,46.131,29.358,52.04,48.012,34.052,55.455,52.011,36.744,54.698,28.457,59.484,25.634,61.694,24.673,47.055,52.945,51.616,7.563,0
"TN","Tennessee","08","Tennessee_08","TN 08","(I)","Kustoff, David","R","57741",0.560026769087523,"168030",0.676599085948982,543008,29.009,70.636,60.24,38.287,58.291,39.32,50.082,16.371,48.25,16.331,53.258,21.966,53.989,13.387,64.06,10.001,58.169,12.768,69.541,29.522,59.032,40.371,66.718,31.783,39.289,59.238,82.388,16.719,80.122,18.725,21.398,77.672,50.114,39.867,72.494,27.115,40.279,31.75,57.823,18.918,48.663,37.93,43.908,29.768,52.48,47.134,34.823,53.06,52.001,34.972,54.89,26.511,61.276,23.833,61.335,24.717,49.505,50.495,50.7,7.859,10
"TN","Tennessee","09","Tennessee_09","TN 09","(I)","Cohen, Steve","D","67433",0.909499210984179,"145139",0.799769666512376,526770,31.024,68.936,72.85,25.052,71.344,27.99,64.487,10.174,63.296,9.55,66.624,11.283,66.24,6.881,70.871,8.003,66.067,9.01,77.416,20.846,68.929,29.627,53.025,43.217,30.706,67.769,86.298,12.221,83.476,15.117,17.145,81.953,62.593,27.419,84.239,15.343,59.576,13.439,72.772,5.874,58.644,29.552,54.073,17.577,65.528,34.516,50.71,33.887,66.749,18.097,68.339,13.29,72.057,11.057,73.761,10.777,64.46,35.54,65.658,4.093,96
"TX","Texas","01","Texas_01","TX 01","(I)","Gohmert, Louie","R","64241",0.88329277179667,"168165",0.722606565830182,541325,26.161,73.901,57.141,42.344,54.5,45.574,47.26,18.05,45.317,19.811,47.378,27.267,49.324,17.811,60.921,13.475,54.436,14.548,67.742,31.85,57.771,41.874,61.634,38.546,35.778,64.048,80.153,19.967,77.218,22.871,19.873,79.605,50.151,38.655,68.672,31.496,39.541,32.382,60.259,17.787,45.348,40.531,43.181,30.347,51.598,48.637,33.899,55.147,51.722,35.679,55.175,28.891,60.013,25.918,61.633,25.384,46.59,53.41,51.536,7.281,3
"TX","Texas","02","Texas_02","TX 02",NA,"Crenshaw, Dan","R","12679",0.274170180560061,"139188",0.528444295954319,592501,36.161,63.741,65.366,33.691,63.879,36.354,54.878,15.72,54.237,15.777,56.044,21.227,58.556,13.622,66.728,11.904,61.656,13.339,70.856,28.97,62.283,37.31,55.504,43.387,31.768,68.103,83.559,16.547,78.635,21.711,26.935,72.688,57.747,31.427,76.187,23.614,50.912,24.911,70.353,14.98,56.327,32.141,54.159,23.981,62.166,38.102,42.233,48.969,60.284,30.32,64.565,24.415,70.469,20.405,69.651,21.48,54.947,45.053,61.621,6.669,10
"TX","Texas","03","Texas_03","TX 03",NA,"Taylor, Van","R","45650",0.846750259682445,"169520",0.542444905939311,622002,35.118,64.942,65.095,34.28,64.761,35.28,52.517,17.033,50.629,17.465,55.966,23.341,56.601,14.52,68.613,12.406,62.042,13.045,71.89,28.197,62.07,37.969,56.224,44.955,30.988,68.864,84.946,15.105,80.72,19.601,26.362,73.31,56.378,34.108,76.828,23.363,49.563,25.242,72.582,12.98,57.34,32.541,55.505,27.618,61.493,38.729,41.623,50.459,59.128,32.511,64.198,24.579,70.764,19.156,70.74,19.924,53.064,46.936,64.003,6.716,7
"TX","Texas","04","Texas_04","TX 04","(I)","Ratcliffe, John","R","63275",0.854952033508985,"188667",0.756954001083271,557786,27.16,72.809,55.92,43.689,54.205,45.885,46.132,17.822,44.112,18.888,46.835,26.521,49.237,16.785,62.261,11.093,55.831,14.052,66.455,33.609,59.646,39.341,65.506,34.457,36.709,62.993,80.002,20.06,76.708,23.548,21.44,77.986,49.235,39.565,67.349,32.931,39.837,33.996,59.937,18.631,48.449,39.106,39.79,31.01,49.595,50.661,34.279,53.973,50.853,36.54,53.538,30.225,59.076,26.948,59.547,27.866,46.321,53.679,51.971,7.628,7
"TX","Texas","05","Texas_05","TX 05",NA,"Gooden, Lance","R","17551",0.299709699453552,"130617",0.623449335821715,549118,29.969,70.012,64.089,35.202,62.212,37.543,50.282,16.683,49.968,16.523,54.601,21.742,55.004,13.928,65.059,11.166,59.502,12.942,69.422,29.669,59.54,39.829,59.409,40.256,33.213,66.248,81.948,17.949,77.318,22.755,22.756,76.586,56.325,33.767,75.298,24.826,51.187,25.63,70.808,12.998,51.588,36.89,48.691,26.905,57.926,42.24,41.263,46.228,58.84,28.725,59.872,24.348,66.291,19.769,66.049,20.492,54.535,45.465,57.492,6.829,7
"TX","Texas","06","Texas_06","TX 06",NA,"Wright, Ron","R","20750",0.45147954743255,"135961",0.531010537333719,571113,31.07,68.993,65.489,33.611,62.413,37.485,53.425,16.206,51.67,17.007,55.041,21.717,56.803,13.577,65.077,12.649,58.958,13.467,70.119,30.065,62.999,35.959,60.015,40.118,32.135,68.157,83.651,16.214,78.961,21.384,22.746,76.703,55.671,33.91,78.42,21.732,48.314,24.3,68.54,12.827,52.506,36.894,49.772,26.8,59.368,40.838,41.915,46.762,59.047,29.57,63.545,22.053,68.491,19.331,68.736,18.713,55.996,44.004,59.163,6.765,7
"TX","Texas","07","Texas_07","TX 07",NA,"Fletcher, Lizzie Pannill","D","9768",0.293553719008264,"127959",0.525281094905193,582607,35.866,64.126,68.325,30.883,70.737,28.856,53.841,15.108,53.171,14.868,58.553,19.283,58.676,11.784,70.641,9.814,65.315,11.025,72.955,26.861,66.665,32.627,56.228,43.667,29.997,70.236,85.35,14.383,81.842,18.044,25.385,74.058,58.826,31.699,79.29,20.754,54.786,21.323,75.954,9.109,62.231,29.891,56.948,24.365,67.279,32.841,47.495,42.078,64.252,26.034,67.827,18.513,73.122,15.376,73.33,15.346,59.503,40.497,66.735,5.924,79
"TX","Texas","08","Texas_08","TX 08","(I)","Brady, Kevin","R","67593",1,"200619",0.734410806457517,621369,30.563,69.369,59.484,40.026,59.895,39.877,47.898,18.559,46.923,18.873,50.106,26.372,51.969,17.014,64.296,12.368,57.356,14.41,67.427,32.765,58.141,41.502,62.058,38.105,34.654,65.392,81.128,19.07,77.311,22.918,24.204,75.355,50.776,38.082,72.087,28.259,44.836,29.895,66.146,16.678,49.12,40.097,46.547,30.31,55.108,45.055,37.6,51.12,54.131,34.604,57.83,28.066,62.345,25.561,62.643,26.23,49.225,50.775,55.302,7.927,7
